impl,n,p,t,T_overall,T_computation,T_other
serial,5000,1,100,9.775284,2.337927,7.437357
serial,5000,2,100,9.681206,2.336151,7.345055
serial,5000,4,100,9.644183,2.340795,7.303388
serial,5000,8,100,9.704223,2.328798,7.375425
serial,5000,16,100,9.631670,2.330447,7.301223
serial,10000,1,100,38.875641,9.754955,29.120686
serial,10000,2,100,38.122267,9.757597,28.364670
serial,10000,4,100,38.638109,9.792788,28.845321
serial,10000,8,100,38.184166,9.793131,28.391035
serial,10000,16,100,38.302431,9.787169,28.515262
serial,20000,1,100,152.781650,38.447419,114.334231
serial,20000,2,100,151.989787,38.411919,113.577868
serial,20000,4,100,151.613998,38.532707,113.081291
serial,20000,8,100,151.903871,38.399687,113.504184
serial,20000,16,100,151.639751,38.404210,113.235541
serial,40000,1,100,628.435929,161.086542,467.349387
serial,40000,2,100,616.421649,158.104877,458.316772
serial,40000,4,100,619.305028,158.356873,460.948155
serial,40000,8,100,615.544314,158.002706,457.541608
serial,40000,16,100,616.386644,158.387212,457.999432
pth,5000,1,100,10.017433,2.335587,7.681846
pth,5000,2,100,9.294625,1.613148,7.681477
pth,5000,4,100,9.106140,1.484809,7.621331
pth,5000,8,100,9.072190,1.495321,7.576869
pth,5000,16,100,9.025921,1.412528,7.613393
pth,10000,1,100,39.501932,9.751438,29.750494
pth,10000,2,100,36.749823,6.911165,29.838658
pth,10000,4,100,35.965273,5.980151,29.985122
pth,10000,8,100,36.135130,5.664773,30.470357
pth,10000,16,100,35.396929,5.897560,29.499369
pth,20000,1,100,155.069727,38.342170,116.727557
pth,20000,2,100,142.985080,26.329789,116.655291
pth,20000,4,100,140.147277,23.280797,116.866480
pth,20000,8,100,136.424019,19.450310,116.973709
pth,20000,16,100,137.306248,19.492875,117.813373
pth,40000,1,100,660.019590,172.865072,487.154518
pth,40000,2,100,584.062256,109.893287,474.168969
pth,40000,4,100,570.676924,96.607060,474.069864
pth,40000,8,100,550.532739,73.741310,476.791429
pth,40000,16,100,540.645133,67.820793,472.824340
omp,5000,1,100,9.848638,2.340670,7.507968
omp,5000,2,100,9.084470,1.610985,7.473485
omp,5000,4,100,8.881998,1.387910,7.494088
omp,5000,8,100,8.896810,1.480444,7.416366
omp,5000,16,100,8.973899,1.433750,7.540149
omp,10000,1,100,39.396080,9.742506,29.653574
omp,10000,2,100,36.411147,6.932939,29.478208
omp,10000,4,100,35.446867,5.970419,29.476448
omp,10000,8,100,35.795711,5.996669,29.799042
omp,10000,16,100,34.469916,5.017047,29.452869
omp,20000,1,100,152.763961,38.309183,114.454778
omp,20000,2,100,140.641366,26.251829,114.389537
omp,20000,4,100,137.564284,23.383248,114.181036
omp,20000,8,100,134.424682,18.100730,116.323952
omp,20000,16,100,134.440248,17.550100,116.890148
omp,40000,1,100,640.254648,161.611402,478.643246
omp,40000,2,100,573.018556,108.533325,464.485231
omp,40000,4,100,562.735530,86.225031,476.510499
omp,40000,8,100,534.626323,63.781713,470.844610
omp,40000,16,100,540.645918,66.627392,474.018526
mpi,5000,1,100,10.102104,2.336162,7.765942
mpi,5000,2,100,9.454953,1.731590,7.723362
mpi,5000,4,100,8.321275,0.599138,7.722136
mpi,5000,8,100,8.098746,0.302002,7.796744
mpi,5000,16,100,7.914204,0.221117,7.693088
mpi,10000,1,100,40.029352,9.766194,30.263158
mpi,10000,2,100,37.398171,6.966545,30.431625
mpi,10000,4,100,32.653149,2.487279,30.165870
mpi,10000,8,100,31.683983,1.234100,30.449883
mpi,10000,16,100,31.142491,0.878955,30.263537
mpi,20000,1,100,158.869096,38.511843,120.357253
mpi,20000,2,100,147.005293,28.111107,118.894187
mpi,20000,4,100,128.322816,10.123284,118.199531
mpi,20000,8,100,124.616774,4.714540,119.902234
mpi,20000,16,100,121.270838,3.504367,117.766470
hybrid,5000,1,100,10.032820,2.369668,7.663152
hybrid,5000,2,100,10.108945,2.379938,7.729006
hybrid,5000,4,100,9.426913,1.738097,7.688816
hybrid,5000,8,100,8.082001,0.436098,7.645903
hybrid,5000,16,100,7.880317,0.217092,7.663225
hybrid,10000,1,100,40.593154,9.968333,30.624821
hybrid,10000,2,100,40.542767,9.926808,30.615959
hybrid,10000,4,100,37.481766,6.992144,30.489623
hybrid,10000,8,100,30.962893,1.761597,29.201296
hybrid,10000,16,100,31.011196,0.879094,30.132101
hybrid,20000,1,100,160.172963,38.849497,121.323467
hybrid,20000,2,100,156.869678,38.627430,118.242249
hybrid,20000,4,100,146.120421,28.178279,117.942142
hybrid,20000,8,100,123.945737,7.115832,116.829905
hybrid,20000,16,100,120.244222,3.452065,116.792157
